ID,PROJDATE,PROJECT,CATEGORY,COUNTRY,CLIENTID,GROSSSALES,DISCOUNT,NETSALES,COSTOFSALES,GROSSINCOME,OTHERINCOME,TOTALTAXABLEINCOME,OSD40,NETTAXABLEINCOME,ATAXRATE,TAXDUE,CWHTPQ,NETTAXPAYABLE,PROFITAFTERTAX,DIVIDEND,RETAINEDEARNINGS,CSAT
19,2016-01-19,P100019,IT01,SPAIN,C2018,138930.62,2531.92,136398.70,21201.89,115196.81,3064.13,118260.94,47304.38,70956.56,0.30,21286.97,3193.05,18093.92,49669.59,9933.92,39735.68,8.79
20,2016-01-20,P100020,IT01,SPAIN,C2018,174463.48,3430.67,171032.81,23388.04,147644.77,2983.92,150628.69,60251.48,90377.21,0.30,27113.16,4066.97,23046.19,63264.05,12652.81,50611.24,8.48
21,2016-01-21,P100021,IT01,SPAIN,C2011,194342.56,2521.45,191821.11,27759.42,164061.69,2942.30,167003.99,66801.60,100202.39,0.30,30060.72,4509.11,25551.61,70141.68,14028.34,56113.34,8.40
22,2016-01-22,P100022,IT01,SPAIN,C2025,114298.60,3665.39,110633.21,11200.18,99433.03,4043.47,103476.50,41390.60,62085.90,0.30,18625.77,2793.87,15831.90,43460.13,8692.03,34768.10,7.41
23,2016-01-23,P100023,IT01,GERMANY,C2014,100211.92,3990.91,96221.01,16775.95,79445.06,2702.93,82147.99,32859.20,49288.79,0.30,14786.64,2218.00,12568.64,34502.16,6900.43,27601.72,8.33
24,2016-01-24,P100024,IT01,SPAIN,C2024,173764.99,4372.14,169392.85,27198.73,142194.12,1413.32,143607.44,57442.98,86164.46,0.30,25849.34,3877.40,21971.94,60315.12,12063.02,48252.10,9.72
25,2016-01-25,P100025,IT01,SPAIN,C2007,128452.46,2958.58,125493.88,28572.41,96921.47,4202.66,101124.13,40449.65,60674.48,0.30,18202.34,2730.35,15471.99,42472.13,8494.43,33977.71,8.41
26,2016-01-26,P100026,IT01,SPAIN,C2018,192586.54,2808.16,189778.38,16354.36,173424.02,1758.36,175182.38,70072.95,105109.43,0.30,31532.83,4729.92,26802.90,73576.60,14715.32,58861.28,9.10
27,2016-01-27,P100027,IT01,SPAIN,C2001,179096.52,3004.94,176091.58,22031.75,154059.83,139.25,154199.08,61679.63,92519.45,0.30,27755.83,4163.38,23592.46,64763.61,12952.72,51810.89,7.63
28,2016-01-28,P100028,IT01,SPAIN,C2015,131511.97,1491.77,130020.20,13498.04,116522.16,3702.39,120224.55,48089.82,72134.73,0.30,21640.42,3246.06,18394.36,50494.31,10098.86,40395.45,9.28
29,2016-01-29,P100029,IT01,FRANCE,C2020,129839.64,1067.32,128772.32,10902.80,117869.52,2061.25,119930.77,47972.31,71958.46,0.30,21587.54,3238.13,18349.41,50370.92,10074.18,40296.74,8.10
30,2016-01-30,P100030,IT01,GERMANY,C2009,154740.53,2459.93,152280.60,26903.39,125377.21,3344.03,128721.24,51488.50,77232.74,0.30,23169.82,3475.47,19694.35,54062.92,10812.58,43250.34,9.02
31,2016-01-31,P100031,IT01,POLAND,C2025,129992.89,2750.20,127242.69,17642.93,109599.76,1716.16,111315.92,44526.37,66789.55,0.30,20036.87,3005.53,17031.34,46752.69,9350.54,37402.15,9.69
32,2016-02-01,P100032,IT01,CANADA,C2017,102848.99,4371.63,98477.36,20909.64,77567.72,1482.71,79050.43,31620.17,47430.26,0.30,14229.08,2134.36,12094.72,33201.18,6640.24,26560.94,7.47
33,2016-02-02,P100033,IT01,FRANCE,C2022,116072.36,4698.53,111373.83,29570.63,81803.20,283.09,82086.29,32834.52,49251.77,0.30,14775.53,2216.33,12559.20,34476.24,6895.25,27580.99,7.38
34,2016-02-03,P100034,IT01,CANADA,C2016,164078.50,1710.67,162367.83,10581.89,151785.94,2613.81,154399.75,61759.90,92639.85,0.30,27791.96,4168.79,23623.16,64847.90,12969.58,51878.32,9.48
35,2016-02-04,P100035,IT01,CANADA,C2010,174928.83,3932.07,170996.76,12453.63,158543.13,4911.42,163454.55,65381.82,98072.73,0.30,29421.82,4413.27,25008.55,68650.91,13730.18,54920.73,7.96
36,2016-02-05,P100036,IT01,POLAND,C2021,117200.49,2346.81,114853.68,28020.81,86832.87,1382.05,88214.92,35285.97,52928.95,0.30,15878.69,2381.80,13496.88,37050.27,7410.05,29640.21,8.84
37,2016-02-06,P100037,IT01,POLAND,C2008,92234.77,3484.33,88750.44,28582.15,60168.29,891.88,61060.17,24424.07,36636.10,0.30,10990.83,1648.62,9342.21,25645.27,5129.05,20516.22,7.46
38,2016-02-07,P100038,IT01,POLAND,C2005,114491.95,4494.10,109997.85,10467.55,99530.30,3535.93,103066.23,41226.49,61839.74,0.30,18551.92,2782.79,15769.13,43287.82,8657.56,34630.25,9.31
39,2016-02-08,P100039,IT01,GERMANY,C2025,105046.42,4507.86,100538.56,21494.25,79044.31,4725.10,83769.41,33507.76,50261.65,0.30,15078.49,2261.77,12816.72,35183.15,7036.63,28146.52,7.74
40,2016-02-09,P100040,IT01,GERMANY,C2007,115918.19,1444.39,114473.80,27632.34,86841.46,2349.47,89190.93,35676.37,53514.56,0.30,16054.37,2408.16,13646.21,37460.19,7492.04,29968.15,7.06
41,2016-02-10,P100041,IT01,CANADA,C2012,188261.96,2249.72,186012.24,26788.60,159223.64,989.01,160212.65,64085.06,96127.59,0.30,28838.28,4325.74,24512.54,67289.31,13457.86,53831.45,9.13
42,2016-02-11,P100042,IT01,FRANCE,C2021,108660.83,3666.48,104994.35,15756.18,89238.17,1789.70,91027.87,36411.15,54616.72,0.30,16385.02,2457.75,13927.26,38231.71,7646.34,30585.36,7.74
43,2016-02-12,P100043,IT01,CANADA,C2021,169076.09,4490.89,164585.20,17584.11,147001.09,2737.66,149738.75,59895.50,89843.25,0.30,26952.98,4042.95,22910.03,62890.28,12578.06,50312.22,7.51
44,2016-02-13,P100044,IT01,CANADA,C2003,178440.06,3433.21,175006.85,17661.59,157345.26,3237.68,160582.94,64233.18,96349.76,0.30,28904.93,4335.74,24569.19,67444.83,13488.97,53955.87,7.31
45,2016-02-14,P100045,IT01,SPAIN,C2017,133568.11,4993.78,128574.33,11410.44,117163.89,3238.13,120402.02,48160.81,72241.21,0.30,21672.36,3250.85,18421.51,50568.85,10113.77,40455.08,7.20
46,2016-02-15,P100046,IT01,SPAIN,C2020,192172.11,3815.16,188356.95,21912.98,166443.97,1005.12,167449.09,66979.64,100469.45,0.30,30140.84,4521.13,25619.71,70328.62,14065.72,56262.89,9.63
47,2016-02-16,P100047,IT01,SPAIN,C2021,150113.32,3140.35,146972.97,20237.71,126735.26,4127.20,130862.46,52344.98,78517.48,0.30,23555.24,3533.29,20021.96,54962.23,10992.45,43969.79,7.13
48,2016-02-17,P100048,IT01,SPAIN,C2020,109422.26,1384.23,108038.03,25627.16,82410.87,3678.64,86089.51,34435.80,51653.71,0.30,15496.11,2324.42,13171.70,36157.59,7231.52,28926.08,7.14
49,2016-02-18,P100049,IT01,SPAIN,C2008,157040.96,1249.06,155791.90,16568.28,139223.62,4899.73,144123.35,57649.34,86474.01,0.30,25942.20,3891.33,22050.87,60531.81,12106.36,48425.45,8.22
50,2016-02-19,P100050,IT01,SPAIN,C2017,140179.97,3834.17,136345.80,24795.39,111550.41,4664.96,116215.37,46486.15,69729.22,0.30,20918.77,3137.81,17780.95,48810.46,9762.09,39048.36,7.67
51,2016-02-20,P100051,IT01,GERMANY,C2014,113043.99,2868.90,110175.09,20132.14,90042.95,4571.10,94614.05,37845.62,56768.43,0.30,17030.53,2554.58,14475.95,39737.90,7947.58,31790.32,7.66
52,2016-02-21,P100052,IT01,SPAIN,C2002,134954.75,3482.19,131472.56,23286.82,108185.74,2512.69,110698.43,44279.37,66419.06,0.30,19925.72,2988.86,16936.86,46493.34,9298.67,37194.67,7.32
53,2016-02-22,P100053,IT01,SPAIN,C2016,176487.64,4028.30,172459.34,25424.92,147034.42,4704.92,151739.34,60695.74,91043.60,0.30,27313.08,4096.96,23216.12,63730.52,12746.10,50984.42,9.02
54,2016-02-23,P100054,IT01,SPAIN,C2021,104891.19,4302.99,100588.20,15346.93,85241.27,4558.78,89800.05,35920.02,53880.03,0.30,16164.01,2424.60,13739.41,37716.02,7543.20,30172.82,8.35
55,2016-02-24,P100055,IT01,SPAIN,C2002,182369.04,3653.01,178716.03,20150.26,158565.77,1369.85,159935.62,63974.25,95961.37,0.30,28788.41,4318.26,24470.15,67172.96,13434.59,53738.37,7.51
56,2016-02-25,P100056,IT01,SPAIN,C2021,133896.55,1154.78,132741.77,26700.94,106040.83,15.12,106055.95,42422.38,63633.57,0.30,19090.07,2863.51,16226.56,44543.50,8908.70,35634.80,8.30
57,2016-02-26,P100057,IT01,FRANCE,C2016,138203.39,4153.17,134050.22,10092.78,123957.44,4404.72,128362.16,51344.86,77017.30,0.30,23105.19,3465.78,19639.41,53912.11,10782.42,43129.69,9.46
58,2016-02-27,P100058,IT01,GERMANY,C2001,113057.52,4671.80,108385.72,24255.19,84130.53,950.43,85080.96,34032.38,51048.58,0.30,15314.57,2297.19,13017.39,35734.00,7146.80,28587.20,9.52
59,2016-02-28,P100059,IT01,POLAND,C2001,134081.52,4118.67,129962.85,13602.95,116359.90,37.49,116397.39,46558.96,69838.43,0.30,20951.53,3142.73,17808.80,48886.90,9777.38,39109.52,9.17
60,2016-02-29,P100060,IT01,CANADA,C2018,138350.70,2809.26,135541.44,21231.40,114310.04,1522.44,115832.48,46332.99,69499.49,0.30,20849.85,3127.48,17722.37,48649.64,9729.93,38919.71,9.59
61,2016-03-01,P100061,IT01,FRANCE,C2001,139635.27,4007.28,135627.99,21415.99,114212.00,831.38,115043.38,46017.35,69026.03,0.30,20707.81,3106.17,17601.64,48318.22,9663.64,38654.58,7.51
62,2016-03-02,P100062,IT01,CANADA,C2009,101899.77,4037.32,97862.45,15889.24,81973.21,3856.25,85829.46,34331.78,51497.68,0.30,15449.30,2317.40,13131.91,36048.37,7209.67,28838.70,8.56
63,2016-03-03,P100063,IT01,CANADA,C2020,149983.33,1286.94,148696.39,19983.51,128712.88,4903.84,133616.72,53446.69,80170.03,0.30,24051.01,3607.65,20443.36,56119.02,11223.80,44895.22,8.31
64,2016-03-04,P100064,IT01,POLAND,C2004,168952.46,1872.69,167079.77,18608.79,148470.98,89.33,148560.31,59424.12,89136.19,0.30,26740.86,4011.13,22729.73,62395.33,12479.07,49916.26,9.86
65,2016-03-05,P100065,IT01,POLAND,C2022,129493.39,1518.44,127974.95,14538.07,113436.88,898.24,114335.12,45734.05,68601.07,0.30,20580.32,3087.05,17493.27,48020.75,9604.15,38416.60,7.06
66,2016-03-06,P100066,IT01,POLAND,C2009,157493.56,3716.08,153777.48,19617.03,134160.45,1338.79,135499.24,54199.70,81299.54,0.30,24389.86,3658.48,20731.38,56909.68,11381.94,45527.74,9.53
67,2016-03-07,P100067,IT01,GERMANY,C2007,118276.53,4520.61,113755.92,17955.22,95800.70,4459.82,100260.52,40104.21,60156.31,0.30,18046.89,2707.03,15339.86,42109.42,8421.88,33687.53,9.57
68,2016-03-08,P100068,IT01,GERMANY,C2003,139452.50,3634.90,135817.60,24843.28,110974.32,2146.49,113120.81,45248.32,67872.49,0.30,20361.75,3054.26,17307.48,47510.74,9502.15,38008.59,7.33
69,2016-03-09,P100069,IT01,CANADA,C2003,127009.76,2908.11,124101.65,21094.35,103007.30,3105.62,106112.92,42445.17,63667.75,0.30,19100.33,2865.05,16235.28,44567.43,8913.49,35653.94,9.29
70,2016-03-10,P100070,IT01,FRANCE,C2011,153229.74,4426.02,148803.72,14525.34,134278.38,1907.04,136185.42,54474.17,81711.25,0.30,24513.38,3677.01,20836.37,57197.88,11439.58,45758.30,8.23
71,2016-03-11,P100071,IT01,CANADA,C2018,186530.37,4759.80,181770.57,16080.94,165689.63,1300.20,166989.83,66795.93,100193.90,0.30,30058.17,4508.73,25549.44,70135.73,14027.15,56108.58,7.62
72,2016-03-12,P100072,IT01,CANADA,C2008,182890.49,3470.17,179420.32,16593.71,162826.61,4736.58,167563.19,67025.28,100537.91,0.30,30161.37,4524.21,25637.17,70376.54,14075.31,56301.23,7.39
73,2016-03-13,P100073,IT01,SPAIN,C2019,163575.25,1487.44,162087.81,28531.60,133556.21,2446.43,136002.64,54401.06,81601.58,0.30,24480.48,3672.07,20808.40,57121.11,11424.22,45696.89,8.72
74,2016-03-14,P100074,IT01,SPAIN,C2010,139960.17,2297.21,137662.96,18097.46,119565.50,3078.86,122644.36,49057.74,73586.62,0.30,22075.98,3311.40,18764.59,51510.63,10302.13,41208.50,8.75
75,2016-03-15,P100075,IT01,SPAIN,C2007,176520.98,4903.97,171617.01,27601.04,144015.97,4469.53,148485.50,59394.20,89091.30,0.30,26727.39,4009.11,22718.28,62363.91,12472.78,49891.13,7.82
76,2016-03-16,P100076,IT01,SPAIN,C2007,152837.99,3208.58,149629.41,22038.18,127591.23,3936.46,131527.69,52611.08,78916.61,0.30,23674.98,3551.25,20123.74,55241.63,11048.33,44193.30,9.92
77,2016-03-17,P100077,IT01,SPAIN,C2014,117864.80,1202.91,116661.89,23683.32,92978.57,2120.70,95099.27,38039.71,57059.56,0.30,17117.87,2567.68,14550.19,39941.69,7988.34,31953.35,8.31
78,2016-03-18,P100078,IT01,SPAIN,C2012,111281.97,2138.59,109143.38,27633.73,81509.65,1677.57,83187.22,33274.89,49912.33,0.30,14973.70,2246.05,12727.64,34938.63,6987.73,27950.91,9.62
79,2016-03-19,P100079,IT01,GERMANY,C2025,120645.82,2901.75,117744.07,20530.04,97214.03,278.71,97492.74,38997.10,58495.64,0.30,17548.69,2632.30,14916.39,40946.95,8189.39,32757.56,9.46
80,2016-03-20,P100080,IT01,SPAIN,C2020,158697.50,3949.92,154747.58,14362.14,140385.44,3662.73,144048.17,57619.27,86428.90,0.30,25928.67,3889.30,22039.37,60500.23,12100.05,48400.19,9.92
81,2016-03-21,P100081,IT01,SPAIN,C2025,106298.51,2428.58,103869.93,22024.26,81845.67,1370.01,83215.68,33286.27,49929.41,0.30,14978.82,2246.82,12732.00,34950.59,6990.12,27960.47,8.38
82,2016-03-22,P100082,IT01,SPAIN,C2018,139545.84,1653.27,137892.57,13593.44,124299.13,1554.40,125853.53,50341.41,75512.12,0.30,22653.64,3398.05,19255.59,52858.48,10571.70,42286.79,9.27
83,2016-03-23,P100083,IT01,SPAIN,C2009,126717.35,3420.35,123297.00,14896.12,108400.88,560.89,108961.77,43584.71,65377.06,0.30,19613.12,2941.97,16671.15,45763.94,9152.79,36611.15,7.01
84,2016-03-24,P100084,IT01,SPAIN,C2022,178324.81,3044.17,175280.64,14652.33,160628.31,863.73,161492.04,64596.82,96895.22,0.30,29068.57,4360.29,24708.28,67826.66,13565.33,54261.33,9.52
85,2016-03-25,P100085,IT01,FRANCE,C2022,91600.19,3193.59,88406.60,10176.07,78230.53,764.46,78994.99,31598.00,47396.99,0.30,14219.10,2132.86,12086.23,33177.90,6635.58,26542.32,7.76
86,2016-03-26,P100086,IT01,GERMANY,C2020,181873.70,3126.42,178747.28,29253.04,149494.24,4002.05,153496.29,61398.52,92097.77,0.30,27629.33,4144.40,23484.93,64468.44,12893.69,51574.75,8.26
87,2016-03-27,P100087,IT01,POLAND,C2011,132332.15,4720.14,127612.01,23500.49,104111.52,2119.75,106231.27,42492.51,63738.76,0.30,19121.63,2868.24,16253.38,44617.13,8923.43,35693.71,9.09
88,2016-03-28,P100088,IT01,CANADA,C2008,173454.42,4288.98,169165.44,10581.06,158584.38,1296.14,159880.52,63952.21,95928.31,0.30,28778.49,4316.77,24461.72,67149.82,13429.96,53719.85,9.98
89,2016-03-29,P100089,IT01,FRANCE,C2014,173702.86,3544.35,170158.51,22822.32,147336.19,2768.46,150104.65,60041.86,90062.79,0.30,27018.84,4052.83,22966.01,63043.95,12608.79,50435.16,8.25
90,2016-03-30,P100090,IT01,CANADA,C2024,122388.98,1449.15,120939.83,11511.58,109428.25,2419.80,111848.05,44739.22,67108.83,0.30,20132.65,3019.90,17112.75,46976.18,9395.24,37580.94,7.50
91,2016-03-31,P100091,IT01,CANADA,C2019,136599.10,3935.68,132663.42,15490.19,117173.23,3330.94,120504.17,48201.67,72302.50,0.30,21690.75,3253.61,18437.14,50611.75,10122.35,40489.40,7.27
92,2016-04-01,P100092,IT01,POLAND,C2018,101865.92,2630.88,99235.04,28353.04,70882.00,3903.19,74785.19,29914.08,44871.11,0.30,13461.33,2019.20,11442.13,31409.78,6281.96,25127.82,7.26
93,2016-04-02,P100093,IT01,POLAND,C2019,180911.30,4319.99,176591.31,18287.67,158303.64,4113.10,162416.74,64966.70,97450.04,0.30,29235.01,4385.25,24849.76,68215.03,13643.01,54572.02,8.69
94,2016-04-03,P100094,IT01,POLAND,C2017,92789.74,4765.74,88024.00,19779.86,68244.14,4774.91,73019.05,29207.62,43811.43,0.30,13143.43,1971.51,11171.91,30668.00,6133.60,24534.40,7.39
95,2016-04-04,P100095,IT01,GERMANY,C2013,117117.40,2378.23,114739.17,24283.70,90455.47,792.34,91247.81,36499.12,54748.69,0.30,16424.61,2463.69,13960.91,38324.08,7664.82,30659.26,8.32
96,2016-04-05,P100096,IT01,GERMANY,C2022,119249.52,4708.07,114541.45,29375.83,85165.62,77.78,85243.40,34097.36,51146.04,0.30,15343.81,2301.57,13042.24,35802.23,7160.45,28641.78,7.52
97,2016-04-06,P100097,IT01,CANADA,C2008,110208.60,4334.24,105874.36,26804.43,79069.93,1381.11,80451.04,32180.42,48270.62,0.30,14481.19,2172.18,12309.01,33789.44,6757.89,27031.55,8.75
98,2016-04-07,P100098,IT01,FRANCE,C2025,177928.46,3110.43,174818.03,17969.79,156848.24,397.59,157245.83,62898.33,94347.50,0.30,28304.25,4245.64,24058.61,66043.25,13208.65,52834.60,9.08
99,2016-04-08,P100099,IT01,CANADA,C2025,136820.28,3423.51,133396.77,24337.36,109059.41,2140.39,111199.80,44479.92,66719.88,0.30,20015.96,3002.39,17013.57,46703.92,9340.78,37363.13,9.56
100,2016-04-09,P100100,IT01,CANADA,C2002,185698.75,2086.29,183612.46,19730.85,163881.61,1893.86,165775.47,66310.19,99465.28,0.30,29839.58,4475.94,25363.65,69625.70,13925.14,55700.56,8.23
101,2016-04-10,P100101,IT01,SPAIN,C2002,132748.45,3245.18,129503.27,14767.96,114735.31,665.94,115401.25,46160.50,69240.75,0.30,20772.23,3115.83,17656.39,48468.53,9693.71,38774.82,7.72
102,2016-04-11,P100102,IT01,SPAIN,C2025,156828.79,2457.55,154371.24,16605.80,137765.44,3178.88,140944.32,56377.73,84566.59,0.30,25369.98,3805.50,21564.48,59196.61,11839.32,47357.29,9.30
103,2016-04-12,P100103,IT01,SPAIN,C2003,133808.38,3534.80,130273.58,26272.42,104001.16,4841.30,108842.46,43536.98,65305.48,0.30,19591.64,2938.75,16652.90,45713.83,9142.77,36571.07,7.84
104,2016-04-13,P100104,IT01,SPAIN,C2023,101359.66,3111.65,98248.01,10140.46,88107.55,2716.32,90823.87,36329.55,54494.32,0.30,16348.30,2452.24,13896.05,38146.03,7629.21,30516.82,8.96
105,2016-04-14,P100105,IT01,SPAIN,C2007,144130.72,1702.92,142427.80,22403.08,120024.72,4585.60,124610.32,49844.13,74766.19,0.30,22429.86,3364.48,19065.38,52336.33,10467.27,41869.07,8.07
106,2016-04-15,P100106,IT01,SPAIN,C2001,161562.75,4698.61,156864.14,15682.45,141181.69,4488.63,145670.32,58268.13,87402.19,0.30,26220.66,3933.10,22287.56,61181.53,12236.31,48945.23,8.73
107,2016-04-16,P100107,IT01,GERMANY,C2005,129439.76,2866.76,126573.00,20366.66,106206.34,2130.67,108337.01,43334.80,65002.21,0.30,19500.66,2925.10,16575.56,45501.54,9100.31,36401.24,7.01
108,2016-04-17,P100108,IT01,SPAIN,C2013,164153.68,1844.12,162309.56,18911.88,143397.68,97.10,143494.78,57397.91,86096.87,0.30,25829.06,3874.36,21954.70,60267.81,12053.56,48214.25,8.45
109,2016-04-18,P100109,IT01,SPAIN,C2008,95511.24,2393.45,93117.79,22573.92,70543.87,2735.73,73279.60,29311.84,43967.76,0.30,13190.33,1978.55,11211.78,30777.43,6155.49,24621.95,9.63
110,2016-04-19,P100110,IT01,SPAIN,C2021,93010.26,3432.03,89578.23,20289.40,69288.83,4025.07,73313.90,29325.56,43988.34,0.30,13196.50,1979.48,11217.03,30791.84,6158.37,24633.47,9.97
111,2016-04-20,P100111,IT01,SPAIN,C2023,132089.36,4555.95,127533.41,17617.77,109915.64,1602.68,111518.32,44607.33,66910.99,0.30,20073.30,3010.99,17062.30,46837.69,9367.54,37470.16,8.12
112,2016-04-21,P100112,IT01,SPAIN,C2024,155638.38,1229.54,154408.84,23563.83,130845.01,1004.70,131849.71,52739.88,79109.83,0.30,23732.95,3559.94,20173.01,55376.88,11075.38,44301.50,8.33
113,2016-04-22,P100113,IT01,FRANCE,C2020,153331.26,1524.93,151806.33,18705.46,133100.87,1773.11,134873.98,53949.59,80924.39,0.30,24277.32,3641.60,20635.72,56647.07,11329.41,45317.66,8.11
114,2016-04-23,P100114,IT01,GERMANY,C2009,184496.33,1926.55,182569.78,21308.66,161261.12,4809.32,166070.44,66428.18,99642.26,0.30,29892.68,4483.90,25408.78,69749.58,13949.92,55799.67,7.44
115,2016-04-24,P100115,IT01,POLAND,C2022,106197.11,1381.55,104815.56,24197.16,80618.40,4595.15,85213.55,34085.42,51128.13,0.30,15338.44,2300.77,13037.67,35789.69,7157.94,28631.75,9.06
116,2016-04-25,P100116,IT01,CANADA,C2005,165907.15,1634.98,164272.17,20953.12,143319.05,2386.83,145705.88,58282.35,87423.53,0.30,26227.06,3934.06,22293.00,61196.47,12239.29,48957.18,7.59
117,2016-04-26,P100117,IT01,FRANCE,C2014,148969.38,3177.61,145791.77,26167.43,119624.34,1121.42,120745.76,48298.30,72447.46,0.30,21734.24,3260.14,18474.10,50713.22,10142.64,40570.58,8.88
118,2016-04-27,P100118,IT01,CANADA,C2025,163410.04,2579.18,160830.86,29742.37,131088.49,2918.33,134006.82,53602.73,80404.09,0.30,24121.23,3618.18,20503.04,56282.86,11256.57,45026.29,7.50
119,2016-04-28,P100119,IT01,CANADA,C2012,159762.33,1751.72,158010.61,29888.32,128122.29,757.78,128880.07,51552.03,77328.04,0.30,23198.41,3479.76,19718.65,54129.63,10825.93,43303.70,9.37
120,2016-04-29,P100120,IT01,POLAND,C2015,139773.20,1237.60,138535.60,16040.42,122495.18,1475.27,123970.45,49588.18,74382.27,0.30,22314.68,3347.20,18967.48,52067.59,10413.52,41654.07,7.19
121,2016-04-30,P100121,IT02,POLAND,C2004,114426.52,1638.21,112788.31,26603.50,86184.81,1513.58,87698.39,35079.36,52619.03,0.30,15785.71,2367.86,13417.85,36833.32,7366.66,29466.66,8.97
122,2016-05-01,P100122,IT01,POLAND,C2001,115836.29,2846.81,112989.48,26774.37,86215.11,1790.95,88006.06,35202.42,52803.64,0.30,15841.09,2376.16,13464.93,36962.55,7392.51,29570.04,7.66
123,2016-05-02,P100123,IT01,GERMANY,C2010,169479.36,2792.24,166687.12,23651.51,143035.61,3376.76,146412.37,58564.95,87847.42,0.30,26354.23,3953.13,22401.09,61493.20,12298.64,49194.56,7.85
124,2016-05-03,P100124,IT01,GERMANY,C2003,90511.05,1469.26,89041.79,27733.23,61308.56,1730.83,63039.39,25215.76,37823.63,0.30,11347.09,1702.06,9645.03,26476.54,5295.31,21181.24,8.88
